Course Code,Name,Description,Prerequisites,Corequisites,Exclusions,Recommended_prep,Distribution,Hours,Delivery Mode,Prerequisites_parsed
ANT101H5,Introduction to Biological Anthropology and Archaeology,"Anthropology is the global and holistic study of human biology and behaviour, and includes four subfields: biological anthropology, archaeology, sociocultural anthropology and linguistic anthropology. The material covered is directed to answering the question: What makes us human? This course is a survey of biological anthropology and archaeology.",,,ANT100Y1orANTA01H3,,Science,24L/12P,"Online, In Class",
ANT102H5,Introduction to Sociocultural and Linguistic Anthropology,"Anthropology is the global and holistic study of human biology and behaviour, and includes four subfields: biological anthropology, archaeology, sociocultural anthropology and linguistic anthropology. The material covered is directed to answering the question: What makes us human? This course is a survey of sociocultural and linguistic anthropology. In some years, students may have the option of participating in an international learning experience during Reading Week that will have an additional cost and application process.",,,ANT100Y1orANTA02H3,,Social Science,24L/12T,In Class,
ANT200H5,Introduction to the Practice of Archaeology,"Archaeological theory, method and technique. Principles of scientific research will be applied to archaeological information. The course will cover the following topics: how archaeology applies the scientific method; how archaeological projects are planned and organized; how archaeological data are recovered through survey, excavation and other means; how archaeological data are organized and analyzed to produce information about the human past; the major theoretical paradigms that archaeologists use to interpret the human past.",ANT101H5,,ANT200Y5orANT200Y1,,Science,24L/12P,In Class,ANT101H5
ANT201H5,World Archaeology,"Archaeological survey of human cultural development from a global perspective, including: the elaboration of material culture; the expansion of social inequality; the development of diverse food procurement (hunter-gatherer-fisher) and food production (herding-agricultural) economies; and the changes in patterns of mobility over time and between world areas, with the growth of village and city life. Students will engage with the current state of archaeological research and some of the major issues archaeologists address in their recreations of archaeologically-based human history.",ANT200H5,,ANT200Y5orANT200Y1,ANT102H5,Science,24L/12P,In Class,ANT200H5
ANT202H5,Biological Anthropology: Human Variation and Adaptation,"Biological anthropology deals with the diversity and evolution of human beings and their living and fossil relatives, and how they have adapted to their environments. This course will introduce students to basic concepts of human genetics and Mendelian inheritance. The course will also describe the biological and evolutionary factors that have produced the fascinating diversity observed in human populations, and illustrate different ways in which humans have adapted to their environments.",ANT101H5orBIO152H5,,ANT203Y5orANT203Y1orANTB15H3,,Science,24L/12T,In Class,"[""or"", ""ANT101H5"", ""BIO152H5""]"
ANT203H5,Biological Anthropology: Primatology and Palaeoanthropology,"Biological anthropology deals with the diversity and evolution of human beings and their living and fossil relatives, and how they have adapted to their environments. This course will introduce students to the remarkable biological diversity of our taxonomic order: the primates. The course will also discuss the rich fossil evidence for human evolution and its interpretation.",ANT101H5orBIO153H5,,ANT203Y5orANT203Y1orANTB14H3,,Science,24L/12P,In Class,"[""or"", ""ANT101H5"", ""BIO153H5""]"
ANT204H5,Sociocultural Anthropology,"A general introductory course emphasizing social and political organization, economics, and the development of theory. Specific cases of social dynamics are drawn from both traditional and contemporary societies.",ANT102H5,,ANT207H1orANTB19H3,,Social Science,24L/12T,In Class,ANT102H5
ANT205H5,Introduction to Forensic Anthropology,Introduction to the field of forensic anthropology. Outlines the areas in which forensic anthropologists may contribute to a death investigation and introduces basic concepts relating to the recovery and analysis of human remains.,ANT101H5orBIO152H5,,,,Science,24L/12P,In Class,"[""or"", ""ANT101H5"", ""BIO152H5""]"
ANT206H5,Culture and Communication,"Introduction to linguistic anthropology and sociolinguistics. This includes: the issue of meaning in language, the use of language in context, the role of language in the organization of human activity, language and identity, the sequential organization of talk-in-interaction.",ANT102H5,,ANT206Y5orANT253H1orANTB21H3,,Social Science,24L/12T,In Class,ANT102H5
ANT207H5,Being Human: Classic Thought on Self and Society,"The question of what it means to be human has been at the core of anthropology for over two centuries, and it remains as pressing now as it ever was. This course introduces students to some classic attempts at addressing this question with specific reference to the nature of personhood and social life. By engaging with the writings of Marx, Weber, Freud, and DeBeauvoir among other great thinkers of the modern age, students will develop deeper knowledge of the major theories guiding anthropological research. We will pay close attention to how arguments are constructed in these texts and focus on the methodologies that these pioneers of social thought developed in their inquiries. The course covers enduring topics ranging from the production of social inequality, what it means to be an individual, how collective life is shaped by economic markets, and the role of religion in shaping human experience, to develop an understanding of central issues facing the world today.",ANT102H5,,,,Social Science,24L/12T,In Class,ANT102H5
